"transactiondateutc","uniqueid","itinerary","first_element","last_element","onewayorreturn"
"2019-07-15 19:12:12.890000",ce358c49-1ba7-e911-a821-8111ee911e19,UPG-DJJ-KUL-CGK-UPG-DJJ-CGK-KUL,UPG,KUL,Return
"2019-11-09 15:35:34.353000",d0f6086c-ed02-ea11-a822-e453a8e76766,WLG-SIN-AMS-NRT-AKL-DUD-SIN-AMS,WLG,AMS,Return
"2019-05-15 22:43:37.030000","76b922b8-4977-e911-a821-8111ee911e19",ZRH-DAR-LEJ-MUC-ZRH-DAR-ZRH-LEJ,ZRH,LEJ,Return
"2019-07-14 21:17:53.033000","0f5f0aac-63a6-e911-a821-8111ee911e19",ADD-BJM-BRU-FRA-ADD-BJM-ADD-LHR-BRU,ADD,BRU,Return
"2019-03-12 18:43:18.910000","024b128d-dd44-e911-a820-a7f2c9e35195",ADD-GOM-BLR-BOM-ADD-FBM-ADD-MCT-BLR,ADD,BLR,Return
"2019-08-30 18:56:55.093000",f2c333c5-3ecb-e911-a821-8111ee911e19,ADD-YYZ-YUL-YYZ-ADD-TNR-ADD-YYZ-YUL,ADD,YUL,Return
"2019-01-26 00:46:55.013000","1eaf7fb7-ea20-e911-a820-a7f2c9e35195",BLR-LKO-MAA-AMS-FRA-BLR-MAA-FRA-AMS,BLR,AMS,Return
"2019-08-16 16:20:54.547000","56c3cda8-28c0-e911-a821-8111ee911e19",BRU-AGA-CMH-IAD-BRU-AGA-BRU-YYZ-CMH,BRU,CMH,Return
"2019-10-20 03:45:55.673000","555493f7-d2f2-e911-a822-e453a8e76766",BRU-EBB-SFO-YUL-BRU-EBB-BRU-YUL-SFO,BRU,SFO,Return
"2019-08-25 17:54:31.127000",bceae43b-48c7-e911-a821-8111ee911e19,BRU-ROB-SFO-YUL-BRU-ROB-BRU-IAD-SFO,BRU,SFO,Return
"2019-09-29 06:00:05.237000","4dd82e3c-65e2-e911-a822-e453a8e76766",BZV-NBO-CDG-AMS-NBO-BZV-NBO-AMS-CDG,BZV,CDG,Return
